Sample in Buffer,Sample in Window,TRIGGER,sig_AD2_IN[9:0],sig_AD1_IN[9:0],LED_IO_OBUF[2:0]
973,973,0,24,-122,2
974,974,0,-42,-88,2
975,975,0,-16,-75,2
976,976,0,59,87,2
977,977,0,17,121,2
978,978,0,-79,6,2
979,979,0,-33,-54,2
980,980,0,100,49,2
981,981,0,55,-107,2
982,982,0,-124,-131,2
983,983,0,-89,81,2
984,984,0,146,25,2
985,985,0,103,68,2
986,986,0,-151,-33,2
987,987,0,-102,-15,2
988,988,0,126,146,2
989,989,0,75,-30,2
990,990,0,-67,23,2
991,991,0,-39,-27,2
992,992,0,-20,-152,2
993,993,0,-3,-12,2
994,994,0,123,-23,2
995,995,0,38,16,2
996,996,0,-228,163,2
997,997,0,-71,-53,2
998,998,0,306,-112,2
999,999,0,99,-43,2
1000,1000,0,-343,24,2
1001,1001,0,-135,123,2
1002,1002,0,346,58,2
1003,1003,0,156,37,2
1004,1004,0,-324,-10,2
1005,1005,0,-168,-9,2
1006,1006,0,265,-101,2
1007,1007,0,167,-123,2
1008,1008,0,-184,-33,2
1009,1009,0,-140,33,2
1010,1010,0,91,104,2
1011,1011,0,104,70,2
1012,1012,0,3,-7,2
1013,1013,0,-66,-49,2
1014,1014,0,-86,12,2
1015,1015,0,37,19,2
1016,1016,0,155,-82,2
1017,1017,0,-27,-25,2
1018,1018,0,-197,34,2
1019,1019,0,24,29,2
1020,1020,0,208,-9,2
1021,1021,0,-40,34,2
1022,1022,0,-188,44,2
1023,1023,0,66,-50,2
1024,1024,0,147,-4,2
1025,1025,0,-89,-37,2
1026,1026,0,-97,-7,2
1027,1027,0,94,32,2
1028,1028,0,42,-122,2
1029,1029,0,-81,-89,2
1030,1030,0,-5,132,2
1031,1031,0,45,41,2
1032,1032,0,-29,74,2
1033,1033,0,1,35,2
1034,1034,0,39,-21,2
1035,1035,0,-56,-89,2
1036,1036,0,-36,55,2
1037,1037,0,97,60,2
1038,1038,0,44,-125,2
1039,1039,0,-139,-6,2
1040,1040,0,-56,-33,2
1041,1041,0,151,58,2
1042,1042,0,80,-28,2
1043,1043,0,-149,-143,2
